,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3822158,811751,1151277,358647,186817,1562909,1262847,1956067,750622,1339468,468841,709558,962813,3776841.8,1187494,399966,88750,4497100,68514,335230,2093016,838496,3010478,1398082,14488534,3373300
1,2111868,211240,227876,575290,17925,577029,2064633,923122,421979,1078551,522296,974547,1204791,623553.6,617158,126637,42217,899000,13344,750180,331270,215069,261284,300836,22510,7282400
2,684578,186970,278597,94922,44800,582505,1666283,355131,387318,244815,102978,61215,444022,380465.7,295767,627407,37995,223600,11185,562103,57718,89631,193419,81796,6696,1103900
29,18668,0,0,0,0,511122,3450003,1036649,0,0,0,0,2438030,407183,0,0,0,0,0,0,1125700,0,0,0,0,9757300
3,11868744,877481,1789151,3043131,113673,589112,6384383,457112,4109960,10247311,3884461,47674,211425,10539123.3,3387078,11236896,189310,939600,208504,6770663,536315,433349,2629578,395573,44951,1996000
4,3504647,571422,1748033,1510623,186264,124681,1780116,213962,483119,3225686,2084043,245813,1101146,2183741.5,6624634,1965155,15372,277900,84066,4056525,338792,110952,540439,379507,8321,2408300
5,272021,666112,430859,77028,7583,185060,1007087,98716,86353,1542765,242210,8286,104809,415440.2,135467,83872,176939,125700,11452,45437,343398,322388,146144,56836,0,1318000
6,514650,251430,393164,888458,51661,265403,204072,55570,1841829,902739,226933,49480,82382,295203.5,96980,39902,23595,428600,2855,209450,388310,198662,196307,708973,0,409300
7,839408,203045,201571,246503,6534,167174,1310387,712274,3543824,1732996,714046,14329,220086,1212854.5,1226393,525623,230990,161600,4629,436078,32329,119570,57125,57496,1109,2848200
8,6784717,487155,523653,489475,25772,207557,2842579,338037,768131,3252958,1194342,761051,324154,1371595.4,2119201,609711,122012,204800,7107,760710,464286,87220,1409266,1545450,62419,2314900
9,2604062,127126,628561,391278,29376,25901,700932,501385,191546,900471,237673,87980,448724,360662.8,950316,640313,72165,88300,23605,1471137,364348,161601,49738,446096,2885,1958800
10,2071538,679489,130577,1266601,61337,690811,1206397,90250,878728,894009,1606496,73174,418460,3383317.6,4942006,2084281,212311,965100,20419,503493,86190,148958,714183,106239,5625,4429500
11,1162971,237493,3342660,127870,5445,21719,154751,26194,38683,317210,26748,645791,6922395,56157.2,13650330,4430,3235,1767300,621548,1390197,39981,8699,179103,733123,81112900,10962900
12,17210052,3008075,1387123,6487481,914836,3114393,7399164,3496052,2433204,11103404,1559483,1250132,15710594,16680660.1,15955384,7693352,418401,6516300,1870328,10296080,1075241,1606479,1357874,4924897,50674,29341200
