,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3155111 ,1339208 ,2472919 ,295873 ,238242 ,2118283 ,1235439 ,3853761 ,712987 ,1586468 ,587827 ,1207386 ,1696432 ,3965588 ,1585472 ,658861 ,85232 ,5690176 ,29588 ,155283 ,964769 ,1607273 ,3577506 ,1794667 ,2058769 ,3413200 
1,1640630 ,167936 ,482194 ,271868 ,16429 ,256700 ,1905235 ,821673 ,297230 ,1014897 ,398717 ,622533 ,1155835 ,274549 ,940694 ,161433 ,40894 ,350863 ,0 ,645531 ,504634 ,185818 ,235478 ,201561 ,46595 ,4379600 
2,500352 ,298490 ,336943 ,98432 ,74030 ,770604 ,2478928 ,532539 ,324317 ,169042 ,144123 ,86021 ,612096 ,184901 ,318242 ,892890 ,47006 ,332349 ,4688 ,123537 ,108360 ,232145 ,443587 ,71984 ,22553 ,1131000 
29,14895 ,0 ,0 ,0 ,0 ,422619 ,2513692 ,764972 ,0 ,0 ,0 ,0 ,1797114 ,105505 ,1271879 ,0 ,0 ,0 ,0 ,0 ,841752 ,0 ,0 ,0 ,0 ,8619500 
3,14628490 ,2156870 ,2345955 ,4792574 ,70646 ,313177 ,10158350 ,1070540 ,5032923 ,8619832 ,5108403 ,82858 ,961886 ,12761120 ,3595186 ,22840376 ,134500 ,2421178 ,102106 ,7946847 ,486982 ,445351 ,8086489 ,1058308 ,227332 ,2262200 
4,7427911 ,3266219 ,1868723 ,2511030 ,168797 ,306332 ,2998171 ,807227 ,961526 ,3929299 ,2594249 ,227225 ,3688049 ,4724776 ,6283818 ,3437178 ,18053 ,1425406 ,46713 ,5076537 ,657315 ,214263 ,2393546 ,1473004 ,12416 ,5079700 
5,682318 ,1795394 ,451027 ,501426 ,19273 ,168243 ,1736672 ,2597936 ,254915 ,3468026 ,479029 ,44628 ,672041 ,855173 ,129981 ,260952 ,275344 ,120200 ,8062 ,74165 ,388784 ,143406 ,832163 ,533773 ,0 ,1787800 
6,583419 ,202791 ,587879 ,777166 ,166875 ,284422 ,262945 ,168180 ,2107324 ,717394 ,93059 ,55681 ,135346 ,105288 ,122502 ,216699 ,13880 ,105888 ,3938 ,213983 ,426516 ,408380 ,200693 ,1858577 ,2000 ,711500 
7,993755 ,32254 ,245297 ,47769 ,11623 ,43710 ,1415568 ,838399 ,1547620 ,1532871 ,641206 ,5352 ,182269 ,185377 ,854288 ,462211 ,150346 ,251630 ,0 ,64142 ,70362 ,78867 ,17312 ,63340 ,45023 ,2642400 
8,4907696 ,825956 ,527807 ,527254 ,28981 ,161381 ,3940688 ,283266 ,370840 ,2328826 ,711359 ,334244 ,326013 ,450959 ,1564516 ,750683 ,82698 ,261998 ,13513 ,806676 ,184517 ,136301 ,584320 ,2176822 ,7129 ,2840400 
9,1939787 ,144865 ,217728 ,291698 ,56687 ,131788 ,656198 ,1197305 ,157130 ,462858 ,386722 ,33188 ,436362 ,208698 ,805730 ,13965 ,24344 ,59229 ,10383 ,1229564 ,304843 ,57996 ,86320 ,264609 ,6291 ,1185200 
10,2198510 ,1291573 ,161344 ,1014668 ,64695 ,407731 ,1857225 ,270406 ,915536 ,443334 ,1890820 ,50185 ,1142258 ,4775696 ,2871440 ,2184550 ,140970 ,365264 ,11751 ,310930 ,165358 ,102759 ,833119 ,659250 ,12524 ,4446700 
11,1239739 ,340233 ,3467967 ,451213 ,0 ,27489 ,243156 ,192653 ,26863 ,267265 ,39633 ,351786 ,10838978 ,142340 ,16121204 ,63369 ,557 ,2661685 ,235344 ,1716925 ,24463 ,8641 ,249624 ,1066401 ,492314 ,17578700 
12,17045891 ,10321019 ,1515831 ,14927163 ,684064 ,1688150 ,12591858 ,4068286 ,2062404 ,7431996 ,1593650 ,899493 ,17945126 ,16015251 ,14132832 ,9837836 ,258207 ,8821569 ,1210669 ,12704679 ,1162899 ,1381571 ,8257627 ,13231743 ,1575560 ,26195900 
13,2489538 ,980183 ,376480 ,1295710 ,114405 ,142767 ,2429514 ,482186 ,327370 ,257582 ,1181253 ,79702 ,2142363 ,2491818 ,547527 ,2303203 ,678886 ,5776300 ,37810 ,1922482 ,486543 ,156742 ,1733143 ,366689 ,19478 ,5961200 
14,12741409 ,495416 ,615507 ,463290 ,2374 ,98465 ,6620350 ,344378 ,1188179 ,5237762 ,748506 ,0 ,471343 ,3284237 ,1615917 ,8352915 ,7954 ,374980 ,0 ,5182994 ,0 ,0 ,900339 ,290716 ,248815 ,405300 
15,7684783 ,1436266 ,2277904 ,973542 ,86537 ,577562 ,6300647 ,3151602 ,710278 ,2881549 ,1517823 ,178335 ,1690474 ,1678503 ,3600196 ,4489547 ,768198 ,1342982 ,15602 ,2723187 ,1173577 ,1670090 ,1201444 ,985555 ,52626 ,8760200 
16,5814012 ,2091011 ,1765394 ,3687546 ,732963 ,1679537 ,4938750 ,2987491 ,2758546 ,2911577 ,1410779 ,1276167 ,3475535 ,3405983 ,2154774 ,2128518 ,116723 ,1432371 ,627335 ,2984489 ,3014429 ,1036685 ,3296545 ,3564140 ,241589 ,5423700 
17,28607524 ,3052037 ,126603 ,15706271 ,477673 ,563410 ,4431056 ,3083549 ,2989658 ,3601823 ,129924 ,8585138 ,7783977 ,2166877 ,5403571 ,1572701 ,72018 ,4990981 ,417461 ,20184252 ,4476828 ,1322311 ,2672723 ,3074489 ,4832 ,15554800 
18,6466561 ,1792124 ,232997 ,2571914 ,307696 ,235508 ,4468021 ,289485 ,1101355 ,673896 ,3030003 ,237157 ,3223231 ,1418653 ,5760873 ,5507925 ,77589 ,1032468 ,10887453 ,12445244 ,2798670 ,1713799 ,662456 ,1460240 ,4286 ,4712600 
