,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3286143 ,1406621 ,1977574 ,327415 ,347937 ,2409207 ,1247513 ,3838560 ,804550 ,1108684 ,453562 ,1190924 ,1087428 ,5928861 ,1339368 ,682846 ,93830 ,6110300 ,551890 ,170787 ,1447936 ,1160328 ,4486150 ,2307863 ,2245676 ,3199400 
1,2405906 ,118586 ,480533 ,640832 ,16049 ,372780 ,1768133 ,861543 ,479967 ,1041841 ,463210 ,1146635 ,1104176 ,746493 ,566332 ,135274 ,34651 ,1115000 ,20610 ,621809 ,683057 ,188614 ,609371 ,206308 ,39174 ,5938600 
2,586362 ,172113 ,331764 ,89262 ,107088 ,669607 ,1940828 ,464909 ,383498 ,177980 ,94787 ,179693 ,539062 ,256605 ,306833 ,794484 ,54015 ,584600 ,127834 ,463073 ,178810 ,243700 ,431744 ,89766 ,12584 ,1041600 
29,12145 ,0 ,0 ,0 ,0 ,397525 ,3385103 ,742203 ,0 ,0 ,0 ,0 ,2098642 ,119740 ,1734907 ,0 ,0 ,0 ,0 ,0 ,816697 ,0 ,0 ,0 ,0 ,8752200 
3,12087847 ,2529663 ,2350232 ,5710307 ,65394 ,413195 ,7426443 ,1058749 ,4954103 ,10415266 ,3681479 ,80059 ,372124 ,12974560 ,3432086 ,16492742 ,166863 ,3584600 ,333246 ,8186663 ,550849 ,447409 ,7254131 ,774290 ,45754 ,1834500 
4,4043807 ,2336820 ,2474095 ,2237301 ,325282 ,256235 ,2343858 ,519598 ,799812 ,4014789 ,2048293 ,447325 ,2070535 ,4666890 ,6033500 ,4672983 ,14961 ,2104100 ,599965 ,5929967 ,594813 ,157486 ,2803670 ,788868 ,5583 ,3228700 
5,507725 ,1831179 ,775901 ,324884 ,27155 ,287337 ,1324555 ,349738 ,189444 ,2488751 ,298700 ,65662 ,221757 ,826061 ,110924 ,254196 ,233585 ,334300 ,25266 ,51139 ,578065 ,91601 ,683851 ,524929 ,8470 ,1828800 
6,524969 ,338861 ,739213 ,847663 ,152452 ,309063 ,246133 ,58431 ,1879428 ,1030361 ,194975 ,48141 ,77851 ,119565 ,111158 ,55603 ,22776 ,246600 ,90601 ,193952 ,791834 ,420210 ,371154 ,2808059 ,0 ,537700 
7,966564 ,70040 ,214386 ,111659 ,31512 ,132293 ,1282574 ,1198543 ,2735559 ,2334763 ,673508 ,108572 ,247109 ,440458 ,1152899 ,594868 ,251953 ,365700 ,76521 ,167026 ,197117 ,88053 ,80006 ,27764 ,0 ,3266100 
8,6311913 ,1089696 ,624443 ,480849 ,69820 ,213245 ,3908456 ,483459 ,577227 ,3647417 ,875932 ,855463 ,373809 ,854001 ,2119204 ,1017920 ,109398 ,355700 ,42548 ,887897 ,368756 ,167999 ,1206096 ,1932655 ,6499 ,2388400 
9,2194064 ,364892 ,634669 ,356121 ,31134 ,200502 ,656561 ,603063 ,148508 ,548180 ,288542 ,59403 ,606944 ,366378 ,976476 ,492272 ,64674 ,131400 ,40147 ,1200215 ,438619 ,111244 ,160644 ,323807 ,10675 ,1830900 
10,2082648 ,1998910 ,151288 ,1641561 ,40630 ,819318 ,1682273 ,290693 ,1037187 ,740303 ,1256192 ,137484 ,899624 ,6084219 ,3489674 ,2438925 ,153644 ,1232300 ,51500 ,468037 ,264769 ,179627 ,1186243 ,440096 ,73181 ,3856000 
11,1592997 ,270123 ,3907856 ,475066 ,28200 ,45542 ,105696 ,235339 ,94101 ,426395 ,42092 ,699173 ,8026671 ,294821 ,13801928 ,15853 ,357 ,2860100 ,494618 ,1341424 ,28265 ,14030 ,429264 ,748971 ,845217 ,12095800 
12,20766600 ,10609625 ,1598305 ,15034700 ,997241 ,2528798 ,9685240 ,4169208 ,2782615 ,10156098 ,1486124 ,1335331 ,18133161 ,16411686 ,16182641 ,6267339 ,275372 ,13391800 ,1022607 ,11394578 ,1627351 ,2235950 ,13463736 ,13505664 ,65869 ,29084800 
13,3224946 ,1328903 ,404282 ,1642640 ,96115 ,152664 ,5043841 ,533145 ,454881 ,271755 ,1035501 ,330195 ,2281773 ,3699784 ,769342 ,2411429 ,929984 ,9873600 ,37532 ,2502900 ,747163 ,278807 ,3063442 ,421001 ,133444 ,7698800 
14,10568023 ,2327904 ,11415 ,614705 ,0 ,117031 ,5279986 ,715262 ,2426765 ,5960055 ,562684 ,0 ,330634 ,3530940 ,1773128 ,5782663 ,1464 ,522900 ,0 ,5350130 ,10922 ,14235 ,1954116 ,71025 ,40359 ,290400 
15,9580575 ,1555567 ,2931999 ,2234456 ,117263 ,1213963 ,5629009 ,3599564 ,1263235 ,3178107 ,1275016 ,309250 ,1032751 ,2352644 ,4821489 ,2393922 ,915814 ,3270600 ,202263 ,3906300 ,1334133 ,2810639 ,1673254 ,843269 ,287315 ,9207000 
16,4700040 ,2296743 ,1986919 ,4314386 ,887679 ,2362620 ,4083620 ,3215819 ,3339258 ,3759066 ,1347732 ,1371568 ,2605596 ,4480102 ,2225828 ,2020446 ,164573 ,2214100 ,1418646 ,2745305 ,3641009 ,1373961 ,4205552 ,3418252 ,31889 ,5719400 
17,23920149 ,5423555 ,49361 ,14579042 ,700998 ,294067 ,1562854 ,3095813 ,1701644 ,2863032 ,1023108 ,10708921 ,8116544 ,1940728 ,3550594 ,1255129 ,39164 ,4357300 ,740016 ,12348964 ,3654011 ,680244 ,2683608 ,1910642 ,0 ,13151800 
18,7072418 ,1881985 ,289254 ,3147718 ,903947 ,297788 ,3716847 ,274885 ,871138 ,790575 ,2338918 ,455784 ,2535835 ,1681186 ,7509174 ,4198105 ,95872 ,1519000 ,16796233 ,11262799 ,3409820 ,1540888 ,3234442 ,2433916 ,125847 ,4283300 
