,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3401997,815982,1233676,374854,203003,1531650.82,1327882,1998090,665817,1328189,413004,668977,1011424,3340759.7,1160186,386203,83457,3644900,73944,275369,1494766,794142,2863015,1392860,1800839,3146700
1,2163956,173574,269756,466087,8707,565488.42,1783551,943498,464370,1004732,533710,883285,1128849,471520,600008,94936,42527,614200,13890,685168,329203,136096,202180,249730,23713,7101200
2,665993,178985,320191,86475,61260,570854.9,2011913,405646,450404,224665,88264,77966,454253,414061,295511,656947,37750,218800,20457,575710,54316,99818,190484,64369,9887,1020600
29,14338,0,0,0,0,500899.56,3317462,952847,0,0,0,0,2313079,346655,0,0,0,0,0,0,1048483,0,0,0,0,9779500
3,13307062,891555,1592639,3439400,91352,577329.76,7232340,347712,4321897,11780447,3722027,78644,274703,9999776.2,3714932,11675919,158353,1094500,166539,7592245,461255,407503,2760272,446119,72287,1784600
4,4436131,702992,1873758,1434530,227192,122187.38,2116856,209593,504526,4175661,2124123,290796,1115539,2205731.4,6848995,2716618,14374,326700,101086,4925065,397277,130196,570619,462239,11873,2889600
5,403990,777908,498153,109935,11248,181358.8,1486918,135654,96901,2415963,312282,14495,148095,372532,129357,148196,230822,254300,13469,49263,420310,344700,153545,99004,0,1620400
6,504118,153678,505214,1002928,76318,260094.94,217827,50782,1934933,1089650,215321,35002,51697,156348,95319,50569,23153,381100,4376,177727,543522,278334,153550,631420,0,434200
7,832416,193716,234516,252065,3607,163830.52,1316680,586683,3007135,2060633,682510,12605,208103,707464,1119674,536130,216462,165100,7772,338177,101580,105925,51351,57572,4695,3002800
8,6824987,469495,513195,389631,32718,203405.86,3371380,288870,581141,3762668,1045242,798555,341613,1062902,2085387,547928,136767,180100,7828,774232,507050,100652,1041992,1518389,44204,2416600
9,2246367,101533,548368,338600,21230,25382.98,775551,588402,157373,789889,215764,85653,483933,395922,879685,606360,63980,83400,30139,1491852,347254,138373,28843,371746,5316,2080800
10,1958518,687765,143612,1134044,68834,676994.78,1295742,108500,925245,759728,1309806,71341,821535,3178846.9,4464746,2134108,207103,640700,22291,474750,74273,137133,768583,93647,8078,4569700
