,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,4935419,928018,1151277,409195,253923,1375498,1447818,2223376,768217,1511985,508144,793056,1226681,4347327,1315445,501039,98921,5760700,70223,431303,2436500,982608,2981165,1621076,1805817,3914100
1,2215052,236903,227876,390949,26436,488215,2278594,954255,518147,1272747,634423,1104372,1300990,826487,673626,130348,44209,1088200,12890,814520,299385,314303,298860,343591,23228,8184800
2,854533,211151,278597,115246,41545,689528,1894777,404999,405773,319410,113873,53108,484110,386506,313186,652163,36451,239100,8119,525000,32856,122800,219520,82559,6970,1194400
29,24345,0,0,0,0,559542,3638911,1137527,0,0,0,0,2628169,425301,0,0,0,0,0,0,1236724,0,0,0,0,9813200
3,13165363,1025731,1789151,3586235,203206,556093,7040094,281311,4312714,12216919,4251969,40097,471158,11755718,3604524,13137085,195729,1121000,246559,7769877,645990,691252,2896981,402921,45273,1920500
4,3770391,717677,1748033,1530223,200331,89041,2038199,250010,693879,3606440,2637630,244965,1409162,2270517,7735288,2285683,15798,286800,78249,4757287,372691,89082,533521,360436,5158,2256400
5,291881,789994,430859,85939,7773,188769,1182030,107824,104368,1620120,281587,11318,96711,468741,155423,93102,216058,134300,16170,40924,416554,506560,139901,84608,0,1243300
6,611245,234563,393164,835849,66199,274364,234664,77509,1989138,1130295,329284,44669,101770,398519,129759,64611,35904,465700,2561,283767,413470,152249,193177,736014,0,455600
7,1044780,213985,201571,293712,6670,229618,1516809,955206,4176166,2072228,862431,17400,338390,1365441,1642923,764555,268611,226200,4039,580464,27697,153627,66024,51779,651,3140500
8,7109257,488853,523653,614199,28126,231893,2678315,368808,807805,3941101,1460905,938881,144771,1800814,2195076,706693,131459,248900,1532,864448,421206,97874,1633579,1689015,84073,2714900
9,3307624,162336,628561,471011,42788,309596,854746,583362,269884,1230263,434795,90744,623476,495881,1349495,723478,91461,164600,18486,1921940,425216,209099,109076,567815,4290,2133100
10,2349177,1042544,130577,1525657,75863,685185,1612189,103772,921696,1071901,2354436,118680,614977,4460746,6095178,1852593,250569,1325700,20280,666325,101894,166447,970711,163413,8203,5491600
11,1290718,313509,3342660,100954,0,31610,161797,8597,141513,351919,25841,598028,9579772,54186,17986522,3448,2410,2329900,879849,1398445,45813,10686,30986,633195,14868149,12972700
12,20858141,4234186,1387123,6712466,1386603,4046189,9122528,3788561,3100768,15461465,1813907,1813807,20706067,18263575,21444655,8424262,431042,8474700,1817281,11753016,1554806,2206250,2287176,6489165,55197,37716900
13,6180276,857976,584229,220582,82377,151019,8585974,1726530,1644884,506076,1433878,370219,3743787,5275382,993406,3353577,1386576,6569700,164102,4668216,573269,275716,756800,276520,32390,10973300
14,9864716,2692376,69598,358052,0,213032,8251338,150899,3984078,9529313,764756,7780,288465,6570679,1916640,6002194,18953,108100,0,3643449,17428,32988,799982,129467,19553,223100
15,17208084,920000,2604008,3112530,60983,1488573,6928202,4107102,1545711,4800396,2190209,358187,2052059,3826583,6302256,2692409,1297991,1560300,197281,7011437,1183947,1755534,1181758,1086117,37644,10157400
16,9132432,2039280,1789878,5846639,1860417,4242166,8734864,4160827,6220728,7638551,3142203,1749457,4683513,10216049,4664934,3572677,355460,2140100,1619215,5549564,4702908,2192823,3732696,2954408,490397,9147700
17,30928333,4580340,20841,14184108,2177334,265698,1250853,1723981,2112964,3107169,1347279,14571789,14556298,643154,4754723,1223467,64435,1616200,1735308,18527008,3358341,1467367,3019790,3567697,2883,15494400
18,10333558,2964334,95844,5701722,1933633,1780093,4615281,326514,1713721,733053,2638682,561708,2504795,1368243,7690220,6490940,84428,1371400,18800603,13349785,3324037,763670,3229756,3414144,0,5007400
19,15609231,3548251,746235,8164184,243645,3548904,6936330,5172077,2826595,7089807,7646501,1591522,2759981,13029582,10433373,2391745,602856,5524300,200452,16582600,1349867,1770240,7599612,3665827,446136,11711900
20,36111449,3023762,772454,11158889,164267,724073,15304041,6212644,5309688,8183092,3021484,2199523,7576736,14532094,14799220,6043307,2298256,4091200,209320,15649999,3671729,1660576,3580148,1703873,291861,34689600
21,21502038,1769780,561672,10364037,224762,670073,4354131,2801946,1893228,2655943,1149711,974320,4299082,7091381,8308098,3882746,1085042,3265000,197948,12258767,1347967,694809,1982560,3548766,770324,17249900
22,24854223,5718844,801085,6774054,46852,1272552,8584766,8765413,1608858,4481516,2704453,929585,13488557,4343221,28825297,1604639,1596604,3704800,35194,13286863,13908263,1768208,3839796,3889604,277561,74526600
23,4357694,1440965,44316,4174610,9234,388638,1382621,302280,90006,160232,1944974,321142,3528865,11767984,2101378,209167,587173,4477900,105771,4590956,612578,12663,301372,1476040,1071592,8678000
24,34040304,10469835,1107198,29561729,1046626,7760321,17397694,18397651,7695171,12364267,8185827,1030094,15121385,24766960,29222047,6365186,87619,7318600,1707581,31721888,8531903,1769370,9052846,5667756,147337,26523200
25,120960993,4100211,342300,8351587,620811,4959114,31301725,28665514,1802559,14748112,3809191,638146,22483086,17435315,20373358,2326373,344506,3335200,857876,32186001,2041971,990556,4769861,2369332,27637,54293400
