,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3007093 ,1130229 ,2149146 ,224247 ,230190 ,2075918 ,1155197 ,3642136 ,593452 ,134113 ,534121 ,915589 ,1498139 ,3791750 ,1542863 ,624261 ,74848 ,4829157 ,12986 ,123761 ,817937 ,1489124 ,3286984 ,1480426 ,1882241 ,3382000 
1,1674431 ,128412 ,382059 ,210902 ,19064 ,251566 ,2017660 ,767907 ,307981 ,878745 ,347590 ,488035 ,1069271 ,228096 ,806733 ,178148 ,40575 ,254814 ,0 ,586575 ,373002 ,167274 ,205982 ,175898 ,36561 ,6104600 
2,362874 ,228891 ,236938 ,95619 ,75638 ,755192 ,2450580 ,425283 ,321535 ,164113 ,128560 ,64376 ,592365 ,142300 ,302647 ,862389 ,42945 ,269052 ,0 ,141412 ,92431 ,175806 ,390496 ,84801 ,19278 ,1076300 
29,13332 ,0 ,0 ,0 ,0 ,414167 ,2344057 ,694597 ,0 ,0 ,0 ,0 ,1648631 ,95322 ,1197910 ,0 ,0 ,0 ,0 ,0 ,764313 ,0 ,0 ,0 ,0 ,7550500 
3,14431325 ,1903221 ,1988235 ,4550288 ,79923 ,306913 ,9618916 ,1057391 ,4528717 ,7617892 ,4595233 ,73659 ,781360 ,12898522 ,3592043 ,21280301 ,115853 ,2125572 ,25229 ,7740725 ,557934 ,365203 ,7707664 ,967087 ,231078 ,2497400 
4,5859114 ,2842530 ,1291764 ,2363717 ,145804 ,300206 ,2860620 ,834924 ,808723 ,3675882 ,2070615 ,183915 ,3203035 ,5080983 ,5904017 ,3432992 ,15645 ,1137440 ,5460 ,4710297 ,590858 ,180182 ,2057900 ,1339461 ,11455 ,5428000 
5,762382 ,1721505 ,371401 ,435080 ,3593 ,164878 ,1933589 ,245501 ,241893 ,3416331 ,391501 ,25029 ,581073 ,800935 ,130099 ,258077 ,249124 ,81895 ,0 ,91146 ,330573 ,130074 ,694974 ,451002 ,2540 ,1635800 
6,549939 ,222442 ,502512 ,745897 ,153051 ,278734 ,284973 ,167221 ,2004700 ,742910 ,80221 ,42645 ,106766 ,185587 ,159035 ,118946 ,15665 ,102018 ,4400 ,192925 ,458830 ,342067 ,209985 ,1342833 ,0 ,749400 
7,947993 ,18929 ,206062 ,47768 ,13247 ,42836 ,1271235 ,665265 ,1346414 ,1121494 ,589869 ,32567 ,141959 ,178453 ,724544 ,473587 ,13121 ,146195 ,0 ,75439 ,49172 ,44719 ,9078 ,64907 ,126639 ,2567800 
8,4832050 ,602986 ,354169 ,411370 ,31510 ,158154 ,4200829 ,473256 ,331664 ,2056967 ,555409 ,410619 ,370027 ,437411 ,1688271 ,752920 ,70292 ,269254 ,0 ,824838 ,167374 ,125967 ,371776 ,2383277 ,7941 ,3019400 
