,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,2529460,1724517,1914239,273170,314176,2403245,1336006,4239418,815269,1379982,529124,1668663,1568267,4929276,1507812,707890,81654,7131700,570690,161223,1287781,1534238,4379349,2035635,2328222,3338200
1,2335398,155803,438781,552086,18143,310973,1894091,987707,396979,961708,532597,789684,1281306,548783,784944,180009,45907,719300,17375,615281,685067,220356,332372,272706,27625,5978700
2,494457,196834,376096,98553,82547,894889,2128085,795580,364108,137667,181470,138006,603492,202051,301939,832080,47110,339200,24507,465925,129587,248631,506272,106613,20871,1097300
29,11724,0,0,0,0,438309,3235754,839145,0,0,,0,2056204,125611,1666670,0,0,0,0,0,923369,0,0,0,0,10272600
3,13618012,2625647,2493654,6318461,78704,340336,9227470,1301616,5608474,9663419,5801953,102733,906486,13366305,3663713,23115157,132353,3126900,318778,8032761,504391,498923,9499333,1208996,197265,2202100
4,7314182,4112986,2252167,2530079,306751,338743,2906323,829702,994842,4326134,2946679,411908,4058461,4977257,6750989,3937273,15499,2076500,536617,5991839,782908,260778,3065871,1625917,7216,3478700
5,552965,2242372,554587,514280,21311,205153,1592872,396483,258772,3272624,576389,70875,821723,926279,132411,228983,238749,167800,31440,62588,517480,141187,1237630,673066,37636,1781200
6,555623,323317,618010,731486,195326,265420,262804,195684,2196752,934354,101889,66468,164465,104847,134120,98616,17107,120900,145539,174132,599588,449567,310726,2179154,0,669600
7,893404,60189,251685,32134,7703,73652,1523089,1192781,1988072,2207359,738616,118995,333608,293847,1022450,453084,147765,284400,81776,82615,113819,111080,35126,51825,0,2844000
8,5165590,1089013,763077,692842,20971,192382,3540973,412348,483368,2811102,787988,536434,482909,640811,1700730,945633,78876,302300,29657,853426,280824,159022,850082,2591721,4293,2403000
9,2085324,284416,401450,342409,58337,163562,600127,1343752,140024,449481,420867,56806,443103,224568,789252,447036,40601,91700,8581,1276620,393776,80293,130193,316658,6156,1817700
10,2617096,1606880,181483,1312374,77537,564466,1618578,394336,1810558,494188,2178684,101119,1220859,5633469,3415500,2880574,166666,715500,40157,361735,242698,159422,1211567,769923,15011,3921800
11,1263669,283505,3373583,919672,0,35860,92287,222688,18177,264876,77412,486752,7444986,203831,13493856,56845,183,2914400,354208,1571982,27330,18135,326310,1355365,816716,11564700
12,17933513,11196364,1370149,18393708,1015280,1955111,9793711,4633382,2261949,8063529,1833159,1080445,17238868,18812155,14653836,7700646,306357,13294800,1304287,12317146,1310991,2122373,10635359,16562553,1888804,24670600
13,2886784,1259953,802140,1674771,141375,188002,3615456,535847,397464,296196,1174108,99322,5671375,3224033,706914,2553476,893819,7217600,34906,2168380,513874,241236,2714036,410548,49815,6559900
