,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,3331173,1578063,2580682,290360,278068,2229772,1263731,3982451,723677,1443903,634254,1456749,1460386,4285813,1621749,733924,81305,6371800,32162,147183,1144598,1653437,3703421,1796961,2194475,3513300
1,2098245,153268,400005,425134,18730,270210,1930813,902060,375940,955827,434832,805169,1176511,535695,876078,180632,37830,550800,2929,611339,579745,211053,268864,232238,44015,6312600
2,541487,238932,445440,100531,79529,811162,2327653,736504,325277,143836,161089,114793,608073,192326,302056,877851,52659,356800,4973,343383,105942,245997,510464,87437,22350,1099400
29,7902,0,0,0,0,444862,2968152,851994,0,0,0,0,1939857,116618,1476678,0,0,0,0,0,937508,0,0,0,0,9460200
3,14265903,2437873,2534348,5904969,68486,329660,10092636,1155957,5536709,9199179,5556074,95166,907016,13264531,3769195,22919945,127230,2783100,102814,7852618,538684,482624,8460734,1133438,200946,2352800
4,7627336,3564975,2354559,2520932,205213,322455,2956955,9122260,966632,4313155,2798803,300861,4186420,4818753,6726465,3777804,14462,1678300,55697,5590352,721355,250173,2515639,1579280,4991,3885200
5,629467,1988715,525558,501455,40513,177098,1929263,342829,264721,3621447,556514,56855,748014,882634,134639,254036,273337,131700,8645,70334,437121,135637,1048755,621713,24777,1895500
6,576417,281577,700230,826876,174996,299392,278227,213868,2229048,855878,97005,67815,150984,102429,126836,203726,16257,108800,3500,166145,526516,465423,198008,1970433,0,764600
7,948487,57005,293727,36351,6984,46011,1492828,1004402,1862162,1722525,737281,70042,232201,239224,947148,459174,158273,332300,0,85642,85392,100624,25390,72763,0,2930800
8,5021054,903528,643973,674863,19649,169875,3555169,373548,422133,2415326,732339,409699,430941,540768,1649424,828523,81831,303300,15999,873644,255511,147593,763347,2585826,4604,2757500
9,1963721,229000,304747,344369,60162,138724,602420,1292781,173574,471577,400311,38615,465215,210936,815707,274353,35479,73200,6908,1197936,348843,83151,107415,336509,5546,1862000
10,2478570,1511943,212214,1307742,66954,429191,1859333,348324,1204975,511255,2079198,68712,1232835,5093080,3207034,2519945,142784,429400,17265,357276,190732,365146,1002864,816507,13207,4103000
11,1350732,351356,4640375,554769,0,28936,97709,201768,17765,284834,65085,484895,9528457,297943,16702181,69885,445,2736200,315050,1701706,28533,14095,259034,1307841,650801,14223800
12,18773385,10918963,1449592,16490275,907069,1777000,12235362,4158542,2185344,8186517,1699409,1121037,18969034,17670567,14380931,10881656,311813,11125500,1146309,12175062,1409619,1873542,9281489,15872197,1712704,26657300
13,2645849,1152894,683149,1482270,102627,150281,3247968,465274,384098,267155,1197710,99861,2416122,2599756,604026,2528877,77623,6652100,35893,2049000,489016,211840,2021743,414529,27731,6227200
14,11488243,597240,17659,518251,2548,103647,6674483,543709,1652951,5716886,1141076,2000,452849,2956099,1663084,8293341,7884,452100,0,4601886,3149,5335,946563,338454,318132,430100
15,7897346,1459106,2668931,1307815,105555,607960,6875896,3288181,783011,3054417,1632748,249573,1815379,1783219,4054640,4652064,777520,1751600,12710,3010184,1276604,1932999,1343916,1093959,54420,9201000
16,5912146,2262466,2103862,3961323,766286,1767934,5366821,3374389,3060474,3212069,1587425,1310415,3456055,3712930,2336575,2361818,127930,1679900,619164,2928656,3561235,1228883,3752823,3748593,292988,5738600
17,27948544,3390196,93961,16906689,588856,593063,3664933,3329296,3424319,4060768,1341051,8779936,7281626,2322327,5444771,1577881,67707,4954700,401077,14758658,4858131,1380943,3018292,3051767,19975,14817000
18,6338352,2039392,275328,3179115,487650,247903,4630085,305545,1229415,738757,3131124,273863,3154742,1790575,6417383,5549359,99989,1296300,12474049,11254183,3331249,1713424,825145,1736867,5297,4484800
