,Suzhou,Yangzhou,Anqing,Changzhou,Chizhou,Chuzhou,Hangzhou,Hefei,Huzhou,Jiaxing,Jinhua,Maanshan,Nanjing,Nantong,Ningbo,Shaoxing,Tai1zhou,Tai4zhou,Tongling,Wuxi,Wuhu,Xuancheng,Yancheng,Zhenjiang,Zhoushan,Shanghai
28,2806076,1836762,2216992,287305,345729,2484589,1340344,4519587,1013708,1193876,607968,1768404,1402802,5214050,1469209,731037,93727,7344800,608722,166226,1520836,1593644,4828935,2314992,2286949,3242900
1,2564858,160214,474571,561172,16358,323708,1862739,1130588,445313,903211,593413,962744,1307781,592053,803536,190059,38015,817500,16307,650161,807693,231171,401903,284211,33399,5885700
2,512248,196389,376799,87956,96353,761583,2133012,775154,394877,182887,190113,177652,571155,242835,298205,844500,53792,481000,99098,504968,156732,263049,549613,129574,16727,964000
29,10660,0,0,0,0,356405,3111240,682349,0,0,0,0,2023893,114776,1874939,0,0,0,0,0,750836,0,0,0,0,9190200
3,13098751,2499591,2593270,6800412,85648,330597,8629586,1389856,5927358,9736554,6270931,98539,813330,13755871,3610671,23023406,143497,3420500,329440,7844917,551714,545958,9054256,1263331,121509,1952200
4,7396559,4223899,2511316,2627485,365533,347365,2658900,843652,981914,4196572,2925440,485503,3807628,5238615,6819340,3860320,14877,2310400,620888,6087724,754971,257482,3259955,1568519,6399,3225000
5,457795,2403407,648095,492559,26727,245294,1464462,445970,268514,3192374,616168,79022,808480,960569,131734,223710,252523,275000,32368,57081,623143,146598,1313900,670785,23053,1691000
6,536150,290700,692836,859696,199777,288417,244931,173423,2237645,974269,131949,95273,187091,120604,121220,84497,20859,140900,138292,181943,688140,441961,420177,2260124,0,596700
7,915019,58250,288362,51213,17393,88160,1505087,1377174,2375790,2510397,793434,142836,375810,367437,1073182,607978,265863,354700,64698,107089,154972,107690,44480,55261,0,3028000
8,5402002,1272389,865735,615913,51386,244794,3453028,517467,493523,3089461,837367,640125,460517,721309,1719478,998807,84734,339100,25831,686995,323898,170502,929618,2945169,5396,2267800
9,2160815,316896,452948,345813,59516,188055,572967,1246970,153409,650195,385994,84455,575572,298370,960335,534794,48185,111400,36985,1346103,491554,100466,173257,349342,8415,1792400
10,2405330,1866069,191111,1497059,87782,670085,1742741,422225,1935781,565065,1741091,138309,1263839,6265440,3769297,2947129,156718,1166200,41451,436845,275462,167193,1448953,743625,44096,3790800
11,1316917,262193,2483190,1153797,0,38897,74354,244543,26671,323330,76917,534736,6323721,283874,13810851,36276,212,2796800,372843,1387754,27219,25193,381958,1314828,830966,10361700
12,19562055,10047144,1520514,20129527,1184357,2081081,9323140,4883299,2631454,8595832,1850356,1148507,17554436,19097447,13750818,7321885,273004,13724100,1261090,13740985,1439057,2415268,11850377,17006075,977336,24634800
13,3055731,1177160,885104,1628821,164114,195532,4271423,516324,416986,306442,1251643,51616,2847173,3492764,689297,2807054,963469,8605500,40316,2344832,575445,259361,3139305,432610,91629,6860000
14,10405122,2082672,82082,538929,0,74577,4883759,579679,2384003,4983235,548396,8300,496502,3853951,1583845,9480938,2955,496400,0,4877843,6939,19199,2140938,68252,176507,354900
15,8577994,2122299,3034874,1497898,127423,1202741,5967579,4341184,968073,2862005,1673128,375073,1800835,2070294,4444351,3984237,892449,2579200,229069,3257255,1458804,2546564,1734896,1048305,172456,8753800
16,4540573,2228698,1873065,4199655,802935,2137771,3948293,3571968,2958472,3179288,1789428,1410291,3624079,4048245,2010974,2043082,153996,2157500,1072040,2339651,3668452,1240583,4521333,4034589,137241,5406700
17,24348650,376453,115604,16106900,619847,90238,1766703,3378191,2691092,3323418,1312907,7325679,5857841,2389873,3890891,1988118,55580,4751400,385090,11048636,4437382,1376071,2432412,2024437,15695,10981900
18,5386166,1877427,307216,3654819,957036,484502,3441362,281403,1120799,617290,2935173,331505,2923123,2049673,6808981,5469020,112453,1641100,13390930,9695240,3471691,1516440,2844247,2974579,65593,3835500
