city1,city2,city_distance,city1_num_nodes,city2_num_nodes,num_nodepair,city_distance_index
"Wuhu, Anhui, China","Zhenjiang, Jiangsu, China",587074021.6850005,1722,2109,3268.5281999999997,179614.18282546883
"Wuhu, Anhui, China","Zhoushan, Zhejiang, China",415828119.64200014,1722,593,919.0313999999998,452463.4518929388
"Wuhu, Anhui, China","Shanghai, China",5597921616.191996,1722,10079,15620.4342,358371.7036618608
"Xuancheng, Anhui, China","Yancheng City, Jiangsu, China",1740344802.9400008,1262,3853,4376.2374,397680.6201007287
"Xuancheng, Anhui, China","Zhenjiang, Jiangsu, China",481798330.9389997,1262,2109,2395.4022,201134.6282219327
"Xuancheng, Anhui, China","Zhoushan, Zhejiang, China",257519537.41499996,1262,593,673.5294,382343.4246745576
"Xuancheng, Anhui, China","Shanghai, China",3424673144.4710045,1262,10079,11447.7282,299157.4471929727
"Yancheng City, Jiangsu, China","Zhenjiang, Jiangsu, China",1645162290.512999,3853,2109,7313.379299999999,224952.4088697272
"Yancheng City, Jiangsu, China","Zhoushan, Zhejiang, China",996866573.166002,3853,593,2056.3460999999998,484775.67719072296
"Yancheng City, Jiangsu, China","Shanghai, China",11592218538.03992,3853,10079,34950.9483,331671.0733722759
"Zhenjiang, Jiangsu, China","Zhoushan, Zhejiang, China",436588728.3430004,2109,593,1125.5732999999998,387881.20537596307
"Zhenjiang, Jiangsu, China","Shanghai, China",4798995846.717053,2109,10079,19130.9499,250849.84654719385
"Zhoushan, Zhejiang, China","Shanghai, China",1287241900.9840038,593,10079,5379.1623,239301.5546275679
