year,measure,d_road_eco,d_eco_road,F_road_road,F_road_eco,F_eco_road,F_eco_eco,d_road_eco_control,d_eco_road_control,F_road_road_control,F_road_eco_control,F_eco_road_control,F_eco_eco_control,DeltaCon,DeltaCon_control
2013,Modularity,0.5706094981889718,0.39245693174365515,0.30365019370470275,0.13038450904987822,0.10728913243036584,0.17659510582235233,0.7656725536161435,0.5866827868190437,0.3036501937046991,0.07115357448478597,0.07298979699989082,0.1765951058223515,0.13493335864399092,0.13351919408032722
2014,Modularity,0.5947044999820675,0.46381735839824734,0.30365019370470275,0.12306805708808954,0.09184229681613651,0.1712892020185017,0.7700770671511994,0.5754035458529143,0.3036501937046991,0.06981614309669154,0.07272878781073953,0.17128920201850004,0.13540327313907244,0.13354761453096875
2015,Modularity,0.5789302324465557,0.411624885864159,0.30365019370470275,0.1278579164807975,0.09534320580697071,0.1620449327585911,0.7648126421158151,0.5420207501356499,0.3036501937046991,0.0714146867784299,0.07421321674909877,0.1620449327585903,0.1357134741903202,0.13366852073994784
2016,Modularity,0.5945351272917185,0.42158928270785223,0.30365019370470275,0.12311948713832233,0.09819642910890687,0.16976938043025425,0.7749925157227816,0.5730430767743634,0.3036501937046991,0.06832356618578528,0.07248421232642407,0.16976938043025677,0.1365632314182329,0.13360809660062414
2017,Modularity,0.6050049667492665,0.4343274324606906,0.30365019370470275,0.11994031835898075,0.09468921622232102,0.16739227188304642,0.7669193717595294,0.5620155246569604,0.3036501937046991,0.07077497791403274,0.07331521637717546,0.1673922718830455,0.13492963599476956,0.13361415148925565
2018,Modularity,0.5699049399788237,0.4592420636635268,0.30365019370470275,0.13059844828686593,0.08384809321975752,0.1550566114439514,0.7693310624295309,0.5271617728222869,0.3036501937046991,0.07004266757493104,0.07331669326734143,0.1550566114439503,0.13439086811480527,0.13391889565317616
2019,Modularity,0.6192434592905438,0.4780218866902136,0.30365019370470275,0.11561679734075891,0.08580119503941185,0.16437699752458795,0.7760865584532014,0.5566321724166634,0.3036501937046991,0.06799135989877228,0.07287947229714817,0.1643769975245853,0.13475688814915027,0.1338261041303501
2020,Modularity,0.5269868996608341,0.45499100848822294,0.30365019370470275,0.14363051954284972,0.07934901713962875,0.14559212485563938,0.7528532583308315,0.4947192565605102,0.3036501937046991,0.07504615598132937,0.07356489708599244,0.14559212485563958,0.1340299847048148,0.1337878533091062
2021,Modularity,0.6924866283913651,0.4112468263568888,0.30365019370470275,0.09337649485574824,0.07338741689214627,0.12464886845201459,0.7071868570324555,0.4120597401440773,0.3036501937046991,0.08891276758137777,0.07328608810842364,0.12464886845201317,0.13343459447527964,0.13366300684179575
2022,Modularity,0.72266939005268,0.4726950040699369,0.30365019370470275,0.08421149343074708,0.07732586124340193,0.14664352099872335,0.7302678181755136,0.5019420989807573,0.3036501937046991,0.08190422925939743,0.0730369642666951,0.14664352099872366,0.13399750961195311,0.13364629386017995
2023,Modularity,0.7442744372831915,0.4820771617087293,0.30365019370470275,0.07765111665420302,0.07510399878068212,0.14501001544644176,0.7213887750102689,0.49188019107065084,0.3036501937046991,0.08460035243643661,0.07368246134148776,0.14501001544644376,0.13344398798245308,0.1335196685153237
